Mandi,Traders,Coupons,Type
Gurudita mal shanti prakash Mansordeva,2,86,Sheller/ Others
Guruduara Shri nankiana Sahib,1,10,Sheller/ Others
Gurusar,29,1565,Purchase Centre
Gurusar,29,1565,Purchase Centre
Gurusar Madhir,13,921,Purchase Centre
Gurusar jodhan,15,485,Purchase Centre
Gyan Rice Mill,1,99,Sheller/ Others
Gyan chand Bnarasi lal rice mill,1,67,Sheller/ Others
H M Rice mill,4,111,Sheller/ Others
"H. L. And Sons, Butar Bakhua",1,99,Sheller/ Others
H.D. Rice Mills,1,49,Sheller/ Others
H.H Agro Kapurthala,3,218,Sheller/ Others
H.L. foods,1,125,Sheller/ Others
H.R.Rice Mill,1,25,Sheller/ Others
"H.S. Dhillon Rice Mill, Badhni Kalan",1,25,Sheller/ Others
Hader Rice mills,1,206,Sheller/ Others
Hafizabad,3,171,Purchase Centre
Hai- Teck Agro industry,1,134,Sheller/ Others
Hajipur,9,832,Sub Yard
Hakamwala,9,730,Purchase Centre
Hakeempur,5,387,Sub Yard
Hakuwala,12,567,Purchase Centre
Halim wala,6,509,Purchase Centre
Halla,11,794,Purchase Centre
Halvara,7,761,Purchase Centre
Hamayupur Tasimbli,7,681,Sub Yard
Hamidi,10,453,Purchase Centre
Hamira,6,1277,Purchase Centre
Hanbdha,13,779,Purchase Centre
Handiaya,15,723,Purchase Centre
Hans Rice mills,1,184,Sheller/ Others
"Hans raj take chand, Mukerian",1,137,Sheller/ Others
Hanskalan,12,550,Purchase Centre
Hanuman rice mill,1,54,Sheller/ Others
Hanuman rice traders,3,75,Sheller/ Others
Hanuman rice udyog samti,1,89,Sheller/ Others
Hanumant Rice Mill,2,110,Sheller/ Others
Har Har Mahadev Rice Mills Jodhpur,1,84,Sheller/ Others
Har Har Mahadev rice mills Rampura,2,71,Sheller/ Others
HarGobind Agro Ind.,4,150,Sheller/ Others
Haraja Singh Wala,16,428,Purchase Centre
Harchowal,16,713,Purchase Centre
Hardasa,7,493,Purchase Centre
Hardianleana,7,474,Purchase Centre
HardoChhani,6,446,Purchase Centre
Hardokhudpur,8,319,Sub Yard
Hardorwal,10,324,Purchase Centre
Hare Krishna Rice Mill,3,148,Sheller/ Others
"Hare Krishna Rice Mill, Bhikhi",3,25,Sheller/ Others
"Hargobind Rice mills, Dhanola",9,163,Sheller/ Others
"Hargun Rice Mills, Harike Kalan",3,93,Sheller/ Others
Hari Om Rice Mill,1,90,Sheller/ Others
Hari Om Rice mill,3,287,Sheller/ Others
Hari Om Rice mill,3,287,Sheller/ Others
"Hari Om rice and General mills, Bariwala road, Varing",2,132,Sheller/ Others
Hari Ram food products,1,97,Sheller/ Others
Hari har Rice Mill,2,193,Sheller/ Others
Hari no,16,937,Sub Yard
Hariao,7,627,Purchase Centre
Harigarh,10,378,Purchase Centre
Harigarh Gehlan,3,297,Purchase Centre
Harike,76,2567,Main Yard
Harike kalan road Aasa butter Rameshwar Das Aatma Ram,1,34,Sheller/ Others
Harkisanpura,5,261,Purchase Centre
Harkrishan agro foods,1,94,Sheller/ Others
Harkrishan ji rice mill,2,68,Sheller/ Others
Harman Rice Mill,1,94,Sheller/ Others
Harman Rice mill,2,105,Sheller/ Others
Harraipur,11,755,Purchase Centre
Harsachhina,61,2580,Sub Yard
Harsamansar,7,681,Purchase Centre
Haryana,2,539,Sub Yard
Hasmatwala,6,346,Purchase Centre
Hathan,16,780,Purchase Centre
Hathur,25,2118,Main Yard
Hebatpindi,6,788,Purchase Centre
Hedobet,13,484,Purchase Centre
Hem Raj Sumit Kumar,1,5,Sheller/ Others
"Hem raj Garg rice and general mills, Pind Kabarwala",14,150,Sheller/ Others
Herike,9,431,Purchase Centre
Hero Kalan,14,825,Purchase Centre
Hero Khurd,11,633,Purchase Centre
Himatpura,8,896,Sub Yard
Hind Rice Mill,4,246,Sheller/ Others
Hind Rice Mill,4,246,Sheller/ Others
Hodla Kalan,8,378,Purchase Centre
Hojkhas,22,1320,Sub Yard
Hoshiar nagar,7,142,Purchase Centre
Hoshiarpur,46,2631,Main Yard
Hraj,6,521,Purchase Centre
Hrike kalan,8,287,Purchase Centre
Husenpura,12,423,Purchase Centre
Indergarh,9,771,Purchase Centre
India Rice Mill,2,75,Sheller/ Others
Indian Rice Mill,2,192,Sheller/ Others
Inna Bajwa,10,494,Purchase Centre
Isaru,8,460,Sub Yard
Ishar Singh Wala,2,191,Purchase Centre
Ishwar Rice Mill,3,251,Sheller/ Others
Ishwar Rice Mill,3,251,Sheller/ Others
Isi,11,553,Purchase Centre
Islalmwala,9,671,Purchase Centre
Isra,5,293,Purchase Centre
Itanwalli,6,576,Purchase Centre
J B J T traders,1,10,Sheller/ Others
J K rice Mills Bhagta,1,116,Sheller/ Others
J S Rice Mill,1,62,Sheller/ Others
J S Rice Mills,1,5,Sheller/ Others
J. K Enterprise,2,139,Sheller/ Others
J. L foods,1,15,Sheller/ Others
J. P.S Utam Rice Mill pvt. Ltd,3,90,Sheller/ Others
J.D. Agro Food,1,15,Sheller/ Others
J.N.Rice Mills,1,77,Sheller/ Others
J.R. Rice Mill,1,66,Sheller/ Others
J.R. Rice Mills,1,18,Sheller/ Others
Jabowal,7,524,Purchase Centre
Jadialy Rice Mill,1,131,Sheller/ Others
Jafarwal,3,396,Purchase Centre
Jagarpur Jattan,7,501,Purchase Centre
Jagdamba Rice Mills,5,24,Sheller/ Others
Jagdamba rice trader (Om Rice Mill),1,10,Sheller/ Others
Jagdamba rice trader U-2 (Shiva Shiv industries),1,14,Sheller/ Others
Jagdambe rice  mill,3,156,Sheller/ Others
Jagdambe rice  mill,3,156,Sheller/ Others
"Jagdambe rice  mill,Kot Bhai",2,99,Sheller/ Others
Jagdambe rice and janral mill,2,71,Sheller/ Others
Jagdish Rice Mill,1,75,Sheller/ Others
Jaggs Ram Tirath,16,538,Purchase Centre
Jagjeet rice and janral mill,1,94,Sheller/ Others
Jagjitpura,3,361,Purchase Centre
Jagrao,107,3886,Main Yard
Jai Abhe Rice mill,2,152,Sheller/ Others
Jai Ambe Agro foods Fai. Ltd.,2,274,Sheller/ Others
Jai Ambe Rice Mill,1,165,Sheller/ Others
Jai Ambe Rice Mill,1,165,Sheller/ Others
Jai Ambe Rice Mills,7,365,Sheller/ Others
Jai Ambe Rice Mills,7,365,Sheller/ Others
Jai Ambe Rice Mills,7,365,Sheller/ Others
Jai Ambe rice mill unit-1,2,25,Sheller/ Others
Jai Ambe rice traders,1,50,Sheller/ Others
Jai Baba Lakhmir Das Rice Mill,2,62,Sheller/ Others
Jai Bajrang bali rice mill,1,291,Sheller/ Others
Jai Bajrang bali rice mill,1,291,Sheller/ Others
Jai Bala ji Rice mills,3,311,Sheller/ Others
Jai Bhagwati Gas,2,57,Sheller/ Others
Jai Bhagwati Rice Mill,2,75,Sheller/ Others
Jai Bhagwati Rice Mill,2,75,Sheller/ Others
Jai Bhagwati Rice Mill,2,75,Sheller/ Others
Jai Bhagwati rice gram udyog samti,2,104,Sheller/ Others
Jai Bharat Rice mill,3,124,Sheller/ Others
Jai Bharat Rice mill,3,124,Sheller/ Others
"Jai Bhawani Rice mills, Badbar",5,55,Sheller/ Others
Jai Bhole Rice Mill,2,146,Sheller/ Others
"Jai Durga Agro Foods, Kotli Ablu",3,25,Sheller/ Others
Jai Durga Foods,1,10,Sheller/ Others
Jai Durga Industries Rice Mill,1,64,Sheller/ Others
Jai Durga Rice Mill,12,253,Sheller/ Others
Jai Durga Rice Mill,12,253,Sheller/ Others
Jai Durga Rice Mill,12,253,Sheller/ Others
Jai Durga Rice Mill,12,253,Sheller/ Others
Jai Durga Rice Mill,12,253,Sheller/ Others
Jai Durga Rice Mills,2,70,Sheller/ Others
"Jai Durga Rice Mills, Kotfatta Maud",2,122,Sheller/ Others
"Jai Durga Rice Mills, Sarayenaga road, Khokhar",3,98,Sheller/ Others
Jai Durga foods,2,90,Sheller/ Others
Jai Ganesh Interpriser,3,114,Sheller/ Others
Jai Ganesh Rice mIll Sekhpura,1,136,Sheller/ Others
Jai Ganpati Rice Mill,4,390,Sheller/ Others
Jai Go Mata Rice Mill,1,151,Sheller/ Others
Jai Gopal Rice Mill,4,161,Sheller/ Others
"Jai Gurudev rice mills, Lalabhai",2,35,Sheller/ Others
"Jai Hind Rice Mills, Butar Bakhua",2,111,Sheller/ Others
Jai Jagdambe Rice Mill,6,273,Sheller/ Others
Jai Jagdambe Rice Mill,6,273,Sheller/ Others
Jai Jagdambe Rice mill,5,395,Sheller/ Others
Jai Jagdambe Rice mill,5,395,Sheller/ Others
Jai Jagdambe Rice mills,2,162,Sheller/ Others
Jai Jagdambe rice udyog samti,1,99,Sheller/ Others
Jai Lalshmi Rice Mill maud,2,75,Sheller/ Others
Jai Laxmi Rice Mill,3,119,Sheller/ Others
Jai Laxmi Rice Mill,3,119,Sheller/ Others
Jai Maa Chntpurni Rice Mills Goniana,1,154,Sheller/ Others
Jai Maa Jagdambe Rice Mills Maud,1,57,Sheller/ Others
Jai Shanker Rice mill,1,136,Sheller/ Others
Jai Shiv Rice Mill and General Mills,2,96,Sheller/ Others
"Jai Shiv Shambhu Rice mill, Lelewala",1,176,Sheller/ Others
"Jai Shri Ganesh rice Mill, Makha Chehlan",2,163,Sheller/ Others
"Jai Shri Ganesh rice Mill, Matti",1,55,Sheller/ Others
Jai Singh Wala,11,572,Purchase Centre
Jai jawala Rice and General mill,1,96,Sheller/ Others
Jai lakshmi rice mills Rampura,1,63,Sheller/ Others
Jai maa naina devi Rice mills,1,45,Sheller/ Others
Jai rice and Gen. Mill,1,155,Sheller/ Others
Jai rice and Gen. Mills,2,74,Sheller/ Others
Jai. B Rice mill,1,193,Sheller/ Others
Jai. R Rice mill,4,318,Sheller/ Others
Jaid Agro foods,2,105,Sheller/ Others
Jaimal Singh Wala,14,512,Purchase Centre
Jaimal wala,24,816,Sheller/ Others
Jain rice and genral mill,2,220,Sheller/ Others
Jajal,4,323,Purchase Centre
Jalal Diwal,9,566,Purchase Centre
Jalal Rice Mills,1,102,Sheller/ Others
Jalal usma,10,662,Purchase Centre
Jalalabad,250,9010,Sub Yard
Jalalabad,250,9010,Purchase Centre
Jalalabad,250,9010,Main Yard
Jalalpur,8,728,Purchase Centre
Jalandhar sehar,40,2189,Main Yard
Jalbho farms Kapurthala rode village Tat Kalan Nakodar,2,108,Sheller/ Others
Jaloor,15,943,Purchase Centre
Jaloor,15,943,Purchase Centre
Jalowal,1,102,Purchase Centre
Jam Rice mill,2,194,Sheller/ Others
Jamna Rice Mill,1,107,Sheller/ Others
Jamna Rice Mills Maud,1,64,Sheller/ Others
Jamser,10,513,Sub Yard
Jan Industry,3,20,Sheller/ Others
Jand wala Hanuwanta,4,522,Purchase Centre
Jand wala bheeme sah,5,570,Purchase Centre
Janda wala,20,556,Purchase Centre
Jandamgholi,9,367,Purchase Centre
Jandiala,20,626,Purchase Centre
Jandiala Guru,117,7527,Main Yard
Jandiali (Focal Point),2,163,Sub Yard
Jandla,15,849,Sub Yard
Jandwala Meera Sangla,12,1188,Purchase Centre
Janer,11,257,Purchase Centre
Jang,4,365,Purchase Centre
Jangiana,13,939,Purchase Centre
Janky Das rice mill 2,3,99,Sheller/ Others
Janky Rice Mills,1,98,Sheller/ Others
Janta Rice Mill,1,76,Sheller/ Others
Jarout,7,484,Purchase Centre
Jaspal rice mill,1,115,Sheller/ Others
Jasraour,15,1326,Purchase Centre
Jatana Kalan,11,536,Purchase Centre
Jauhla,8,644,Purchase Centre
Jawahar wala Agro Food,2,60,Sheller/ Others
"Jawala ji Rice Mill, Ghudani kalan",1,59,Sheller/ Others
"Jawala ji foods, Cheema",1,80,Sheller/ Others
Jawanda Pandi,8,322,Purchase Centre
Jawanda Rice Mill,2,140,Sheller/ Others
Jedoke,10,642,Purchase Centre
Jeto,87,4815,Main Yard
Jhabal,43,1433,Main Yard
Jhabelwali,19,584,Purchase Centre
Jhadheana,8,619,Purchase Centre
Jhadhiwala,3,407,Purchase Centre
Jhaduke,20,1853,Purchase Centre
Jhakhadwala,6,402,Purchase Centre
Jhanda Kalan,10,522,Purchase Centre
Jhanda Khurd,6,291,Purchase Centre
Jhandhuwala,15,488,Purchase Centre
Jhaneer,46,2449,Sub Yard
Jhaner,4,520,Purchase Centre
Jharo,2,357,Purchase Centre
Jharouli,12,1044,Sub Yard
Jhok Harihar,20,996,Sub Yard
Jhok mohre,27,1337,Sub Yard
Jhorar,8,411,Purchase Centre
Jhorra,7,619,Purchase Centre
Jhuba,13,595,Purchase Centre
Jhumianwali,13,802,Purchase Centre
Jhurar khera,13,947,Purchase Centre
Jida,8,881,Purchase Centre
Jimidara agro mill,1,105,Sheller/ Others
"Jimidara commission Agent, Lambi",1,62,Sheller/ Others
Jimidara rice and janral,1,120,Sheller/ Others
Jimidaran Rice Mills,1,74,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal Rice Mill,13,563,Sheller/ Others
Jindal industries,1,10,Sheller/ Others
Jiod,3,232,Purchase Centre
Jiowala,21,767,Sub Yard
Jira,54,4376,Main Yard
Jivaarayi,10,846,Purchase Centre
Jivan Singh wala,8,591,Purchase Centre
Jiwan Rice Mill,1,143,Sheller/ Others
Jiwan singh wala,11,465,Purchase Centre
Jiwi Rice mill,1,203,Sheller/ Others
Jiyun wala,9,170,Sheller/ Others
Jodhpur,6,309,Purchase Centre
Jodhpur Bagefald,6,486,Purchase Centre
Jodhpur Pakhar,20,520,Purchase Centre
Jodhpur Romana,7,400,Purchase Centre
Joga,20,1341,Purchase Centre
Joganand,4,544,Purchase Centre
Jogewala,2,109,Purchase Centre
"Jogindra rice and General Mills, Rahon",2,148,Sheller/ Others
Johlan,2,340,Purchase Centre
Joli Rice Mill,1,55,Sheller/ Others
Joliyan,10,644,Purchase Centre
JoraChhatra,12,807,Purchase Centre
Jorki Andhewali,13,865,Purchase Centre
Jorkiyan,9,711,Purchase Centre
Josan Rice Mill Puniya,4,90,Sheller/ Others
Jyoti Rice Mill,1,65,Sheller/ Others
"K K Rice Mill, Ghumiara road Malout",1,15,Sheller/ Others
K S agro food,1,64,Sheller/ Others
K. B. Rice mill,3,199,Sheller/ Others
K. M. Rice Mill,2,168,Sheller/ Others
K.C  Rice mill,2,172,Sheller/ Others
K.C Solvate,1,183,Sheller/ Others
K.C. Gram udyog smiti,1,199,Sheller/ Others
K.C. Industries,1,90,Sheller/ Others
K.K Rice Mill,3,140,Sheller/ Others
K.L Agro,1,10,Sheller/ Others
K.L. foods,2,63,Sheller/ Others
"K.P. Agro Industries, Sultanpur Lodhi",4,137,Sheller/ Others
K.R. Rice Mill,2,174,Sheller/ Others
K.R.B. Rice Mill,1,108,Sheller/ Others
K.S. Rice Mills,2,169,Sheller/ Others
K.T Rice Mill,5,214,Sheller/ Others
Kabalwal,7,734,Purchase Centre
Kabarvachha,15,460,Purchase Centre
Kabarwala,10,626,Purchase Centre
Kabhrwal,8,644,Purchase Centre
Kabirpur,10,884,Sub Yard
Kacha Kalewala,10,504,Purchase Centre
Kacharbhan,3,277,Purchase Centre
Kadail,12,256,Purchase Centre
Kadar Wala,10,202,Purchase Centre
Kadiyal,13,717,Purchase Centre
Kadiyan,66,3048,Main Yard
Kadrabad,13,1293,Purchase Centre
Kahlwan,13,669,Purchase Centre
Kahngarh,16,350,Purchase Centre
Kahnke,9,449,Purchase Centre
Kahnuwan,22,1541,Main Yard
Kailash Jodhpur rice Mills,1,84,Sheller/ Others
Kakar,10,594,Purchase Centre
Kakrala,34,2451,Purchase Centre
Kal Jharni,16,1004,Purchase Centre
Kala no,8,529,Purchase Centre
KalaSaghya,6,547,Purchase Centre
Kalajhar,5,350,Sub Yard
Kalala,5,260,Purchase Centre
Kalalmajra,3,240,Purchase Centre
Kalalwala,5,615,Purchase Centre
Kalanangal,4,507,Sub Yard
Kalanaur,77,2666,Main Yard
Kalaraipur,17,861,Main Yard
Kalbanjara,6,416,Purchase Centre
Kalehari,8,349,Purchase Centre
Kaleke,40,2128,Sub Yard
Kaleke,40,2128,Purchase Centre
Kaleke,40,2128,Purchase Centre
Kaleran,6,356,Purchase Centre
Kalgidhar Rice Mill,1,101,Sheller/ Others
Kalia,8,254,Purchase Centre
Kalichpur,6,519,Sub Yard
Kalon,7,377,Purchase Centre
Kalsa,6,533,Purchase Centre
Kalsiyan,9,476,Purchase Centre
Kalyan rice and janral mills,2,91,Sheller/ Others
Kamal rice and agro products,1,86,Sheller/ Others
Kamala Bodla,25,765,Purchase Centre
Kamalpur,49,3047,Sub Yard
Kamalpur,49,3047,Purchase Centre
Kamalpur,49,3047,Purchase Centre
Kamalpur,49,3047,Purchase Centre
Kamalu (Svech),20,552,Purchase Centre
Kamalwala,17,418,Purchase Centre
Kamboj Rice Mill,3,59,Sheller/ Others
"Kamdhenu Rice mills, hamidi",5,275,Sheller/ Others
Kamla rice mills,1,138,Sheller/ Others
Kanakwal Bhaguan,9,563,Purchase Centre
Kanakwal Chehlan,6,443,Purchase Centre
Kanakwal Rice Mills,1,119,Sheller/ Others
Kandani,7,561,Purchase Centre
Kandhala Jattan,6,309,Purchase Centre
Kandhala Shekhan,3,67,Purchase Centre
Kandhalaguru,6,303,Sub Yard
Kandhargarh Chhana,7,474,Purchase Centre
Kandila,12,632,Purchase Centre
Kandwala Hajarkha,12,627,Purchase Centre
Kang,18,359,Purchase Centre
Kang Khurd,21,432,Purchase Centre
Kanganwal,9,658,Sub Yard
Kangmayi,7,487,Purchase Centre
Kansal Rice mill,1,79,Sheller/ Others
Kaoni,45,2038,Purchase Centre
Kaoni,45,2038,Purchase Centre
Kapiyal,9,531,Purchase Centre
Kapure,12,869,Purchase Centre
Kapurhala,99,4561,Main Yard
Kapuri,18,351,Purchase Centre
Karam Patti,12,717,Purchase Centre
Karam Rice Mills,3,109,Sheller/ Others
Karam Rice Mills,3,109,Sheller/ Others
Karamgarh,6,501,Purchase Centre
Karandi,15,521,Purchase Centre
Karhali,10,356,Purchase Centre
Karirwali,10,328,Purchase Centre
Karman,10,524,Purchase Centre
Karmuwala,4,524,Purchase Centre
"Karni Mata Rice mill, Sangat",4,357,Sheller/ Others
KarniKheda,13,569,Purchase Centre
Karoda,16,701,Purchase Centre
Kartar Rice mill,1,97,Sheller/ Others
Kartarpur,18,1492,Sub Yard
Karunanidhi Rice Mill,1,194,Sheller/ Others
Kasba Bhural,6,593,Purchase Centre
Kasoana,7,443,Purchase Centre
Katani Khurd,5,407,Purchase Centre
Kathgarh,7,509,Purchase Centre
Kattu,8,556,Purchase Centre
Katuri Lal Rice Mill,1,162,Sheller/ Others
Kauhriya,7,304,Purchase Centre
Kaul,3,329,Purchase Centre
Kaur Sen Rice Mill,3,135,Sheller/ Others
"Kawal rice mill, Kotakpura",2,240,Sheller/ Others
Kehar Singh Wala,27,1151,Purchase Centre
Kere,13,360,Purchase Centre
Kero,25,1250,Purchase Centre
Keshav agro mill,1,60,Sheller/ Others
Khachda,7,251,Purchase Centre
Khadial,10,490,Purchase Centre
Khadiya Gulab Singh,16,782,Purchase Centre
Khadoor Sahib,33,1727,Main Yard
Khalchiyan,4,368,Purchase Centre
"Khali flat Malk Harmesh Kumar and Rishipal, Dirhba",2,87,Sheller/ Others
Khalra,86,2732,Sub Yard
Khalsa Rice mill,1,45,Sheller/ Others
Khalu,11,679,Sub Yard
Khamao,38,1619,Main Yard
Khamba,19,502,Purchase Centre
Khanal Kalan,10,478,Purchase Centre
Khanauri,106,2318,Main Yard
Khane ki Dhab,9,431,Purchase Centre
Khanjura rice mill,2,165,Sheller/ Others
Khanna,101,3167,Main Yard
Khapyawali,24,981,Purchase Centre
Khara,23,1485,Purchase Centre
Khara,23,1485,Purchase Centre
Kharak Singh wala,13,573,Purchase Centre
Kharar,19,1563,Main Yard
Khare,4,415,Purchase Centre
Khasan,7,628,Purchase Centre
Khasi Kalan,20,816,Purchase Centre
KhatRai kalan,11,1050,Purchase Centre
Khatda Rice Mill,2,116,Sheller/ Others
Khatra Cho Harma,5,273,Purchase Centre
Khayali,3,305,Purchase Centre
Khayali wala,7,401,Purchase Centre
Khayi feme ki,22,593,Purchase Centre
Khemkaran,58,1855,Main Yard
Khemuana,8,440,Purchase Centre
Khera Dona,5,485,Purchase Centre
Khera Majha,4,392,Purchase Centre
Kheragajju,8,353,Sub Yard
Khere ke Utar,8,464,Purchase Centre
Kheri,7,356,Purchase Centre
Kheri Barna,7,666,Purchase Centre
Kheri Chehla,12,467,Purchase Centre
Kheri Fatta,15,575,Purchase Centre
Kheri Gurnan,3,77,Purchase Centre
Kheri Ranwa,3,197,Purchase Centre
Khetla,8,416,Purchase Centre
Khialakalan,16,949,Sub Yard
Khijrabad,14,1716,Sub Yard
Khiowala Dhab,35,2363,Sub Yard
Khiwa,6,217,Purchase Centre
Khiwa Dialu wala,7,412,Purchase Centre
Khiwa Kalan,5,397,Purchase Centre
Khiyala,20,1593,Purchase Centre
Khokhar Khurd,6,549,Purchase Centre
Khokhar kalan,7,372,Purchase Centre
Khosa Randhir,15,790,Purchase Centre
Khudi kalan,9,440,Purchase Centre
Khuhian Sarwar,9,792,Purchase Centre
Khukhan kalan,3,440,Sub Yard
Khukhrana,10,969,Sub Yard
Khumban,8,922,Purchase Centre
Khunan Kalan,20,846,Purchase Centre
Khundar Utar,22,442,Purchase Centre
Khurana Rice mill,1,154,Sheller/ Others
Khushhalpur Kothe,9,523,Purchase Centre
Khuthi Galri,8,987,Purchase Centre
Kidi Afgana,4,269,Purchase Centre
Kidiya Wali,8,435,Purchase Centre
Kila Hakima,11,677,Purchase Centre
King Agro Industry,1,30,Sheller/ Others
King rice and Janral mills,2,82,Sheller/ Others
Kingra,5,315,Purchase Centre
Kiratpur Sahib,30,850,Sub Yard
Kisan Rice mill,16,821,Sheller/ Others
Kisan Rice mill,16,821,Sheller/ Others
Kisan Rice mill,16,821,Sheller/ Others
"Kisan Rice mill, Barnala",1,65,Sheller/ Others
Kisan rice and gen.  Mill,2,172,Sheller/ Others
Kisan rice mills,2,61,Sheller/ Others
Kisan rice mills,2,61,Sheller/ Others
Kisan rice trading company,2,104,Sheller/ Others
Kisangarh,16,1143,Purchase Centre
Kisangarh,16,1143,Purchase Centre
Kisanpura,22,1032,Purchase Centre
Kohala,12,732,Sub Yard
Kohala,12,732,Purchase Centre
"Kohenoor Agro Foods, Malwa road, Pind Their",1,5,Sheller/ Others
Koleyawali,14,728,Purchase Centre
Kolpur,5,567,Purchase Centre
Kot Bakhtu,10,853,Purchase Centre
Kot Budha,32,1848,Sub Yard
Kot Dhandal,4,435,Purchase Centre
Kot Dharmu,10,359,Purchase Centre
Kot Ise Khan,71,3051,Main Yard
Kot Lalu,7,575,Purchase Centre
Kot Mohamad Khan,3,135,Purchase Centre
Kot karodh Kalan,6,389,Purchase Centre
KotMohamad Khan,14,820,Purchase Centre
Kotakpura foods pvt. Ltd. Moga rode Kotakpura,3,347,Sheller/ Others
Kotapura,210,6689,Main Yard
Kotduna,11,437,Purchase Centre
Kothaguruka,10,646,Sub Yard
Kothe Mulkan Patti,6,536,Purchase Centre
Kothe Nathe Singh Wala,6,412,Purchase Centre
Kothesandhua,5,452,Purchase Centre
Kotli Surat Mali,19,1444,Purchase Centre
Kotli kalan,11,830,Purchase Centre
Kravar,12,932,Purchase Centre
Krishan Chand Agro products,2,19,Sheller/ Others
Krishan Rice Mill,3,164,Sheller/ Others
Krishan Rice Mill,3,164,Sheller/ Others
Krishna Rice Mill,1,72,Sheller/ Others
Krishna Rice Mill,1,72,Sheller/ Others
"Krishna Rice Mill, pvt. Ltd",2,91,Sheller/ Others
Krishna Rice Mills,2,67,Sheller/ Others
Krishna Rice mill,5,73,Sheller/ Others
Krishna Rice mill,5,73,Sheller/ Others
Krishna agro Ind.,3,198,Sheller/ Others
Krishna agro Ind.,3,198,Sheller/ Others
Krishna agro Ind.,3,198,Sheller/ Others
Krishna agro industries Kurali,3,360,Sheller/ Others
Krishna foods,1,30,Sheller/ Others
Krishna rice Mills Maud,1,64,Sheller/ Others
"Krishna rice and General Mills, Husnar",1,115,Sheller/ Others
"Krishna rice mill, Husnar",1,101,Sheller/ Others
Kuber Foods Industries,1,18,Sheller/ Others
Kuber Rice Mills,1,112,Sheller/ Others
Kuber rice and janral,1,104,Sheller/ Others
Kuhala,10,1340,Purchase Centre
Kuhala,10,1340,Sheller/ Others
Kuhar Kalan,14,893,Purchase Centre
Kukar Pind,16,757,Main Yard
Kulana,6,472,Purchase Centre
Kular Khurd,3,229,Purchase Centre
Kularan,15,1144,Purchase Centre
Kulgaddi,18,728,Purchase Centre
Kulriyan,21,1018,Purchase Centre
Kum Kalan,21,1306,Purchase Centre
Kumran,5,241,Purchase Centre
Kundan Rice Mill,1,48,Sheller/ Others
Kup Kalan,11,691,Purchase Centre
Kurala,8,449,Purchase Centre
Kurali,54,6317,Main Yard
Kurayi Wala,13,473,Purchase Centre
Kurd,7,524,Purchase Centre
"Kusla Rice Mill, Kusla",1,165,Sheller/ Others
Kuthala,8,714,Purchase Centre
L V Rice Mill Duladhi,1,112,Sheller/ Others
L.D. Garag and Sons Rice Mill(Lees) Jiwan Rice Mill (Malak),3,130,Sheller/ Others
Ladal,5,335,Purchase Centre
Ladbanjarakalan,8,385,Purchase Centre
Ladda,12,552,Purchase Centre
Ladhpur,9,451,Purchase Centre
Ladhra,6,322,Sub Yard
Ladhuka,75,3662,Sub Yard
Ladhuwala Uttar,9,893,Sub Yard
Laipo,23,777,Purchase Centre
Lakha,10,898,Purchase Centre
Lakhanke Padde,12,1633,Purchase Centre
Lakhewali,15,831,Purchase Centre
Lakhmirewana,14,614,Purchase Centre
Lakhoke Behram,25,1163,Purchase Centre
Lakhowal,10,505,Purchase Centre
Lakse Rice Mill Liji sitla Agro foods,1,50,Sheller/ Others
Lakshami cotton factory,4,378,Sheller/ Others
"Lakshmi Agro mills (Lees), Hari Krishna Agro (Malak)",4,124,Sheller/ Others
"Lakshmi Narayan rice mills, Buttar Bakhua",2,111,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mill,17,614,Sheller/ Others
Lakshmi Rice Mills,1,79,Sheller/ Others
Lakshmi Rice Mills Gujarpura,2,200,Sheller/ Others
"Lakshmi Rice Mills, Balmgarh road  Shri Mukatsar Sahib",3,177,Sheller/ Others
Lakshmi Rice mill,2,10,Sheller/ Others
Lakshmi foods,3,244,Sheller/ Others
Lakshmi rice and agro products,1,87,Sheller/ Others
Lakshmi rice and general mid,1,92,Sheller/ Others
"Lakshmi rice and general mills, Sarayenaga road, mrar kalan",2,93,Sheller/ Others
Lakshmi rice and genral mill,2,70,Sheller/ Others
Lakshmi rice and genral mills,2,81,Sheller/ Others
Lakshmi rice and janral mills,1,83,Sheller/ Others
LalaBhai,17,1198,Purchase Centre
Laleana,6,580,Purchase Centre
Lalhandi,11,197,Purchase Centre
Lalochhi,10,842,Purchase Centre
Lalru,23,1976,Main Yard
Lalto kalan,11,680,Purchase Centre
Lambhwali,4,380,Purchase Centre
Lambi,9,528,Purchase Centre
Lame,10,599,Purchase Centre
Landhe,24,848,Purchase Centre
